transaction_items
"chhena jalebi,pakhala,rice"
"chhena jalebi,pakhala,rice"
"chhena kheeri,kheer sagar,rice"
"chhena kheeri,rasabali,rice"
"chhena jalebi,chhena kheeri,rice"
"kheer sagar,rice"
"kheer sagar,pakhala,rice"
"chhena poda,kheer sagar,rice"
"chhena jalebi,rasabali,rice"
"chhena kheeri,kheer sagar,rice"
"chhena jalebi,chhena kheeri,rice"
"chhena kheeri,kheer sagar,rice"
"chhena jalebi,phirni,rice"
"chhena kheeri,kheer sagar,rice"
"chhena jalebi,rice"
"chhena poda,kheer sagar,rice"
"kheer sagar,rasabali,rice"
"chhena kheeri,rice"
"chhena kheeri,kheer sagar,rice"
"chhena kheeri,phirni,rice"
"chhena jalebi,chhena poda,rice"
"chhena jalebi,rasabali,rice"
"phirni,rasabali,rice"
"chhena jalebi,kheer sagar,rice"
"chhena kheeri,rice"
"chhena jalebi,kheer sagar,rice"
"chhena jalebi,chhena kheeri,rice"
"chhena poda,kheer sagar,rice"
"chhena kheeri,kheer sagar,rice"
"kheer sagar,rice"
"pakhala,rasabali,rice"
"kheer sagar,rasabali,rice"
"chhena jalebi,chhena kheeri,rice"
"kheer sagar,phirni,rice"
"chhena jalebi,rice"
"chhena jalebi,phirni,rice"
"chhena jalebi,kheer sagar,rice"
"chhena kheeri,rasabali,rice"
"chhena poda,kheer sagar,rice"
"chhena jalebi,rasabali,rice"
"chhena jalebi,rice"
"kheer sagar,pakhala,rice"
"chhena jalebi,kheer sagar,rice"
"chhena kheeri,rasabali,rice"
"chhena jalebi,kheer sagar,rice"
"kheer sagar,rice"
"kheer sagar,rice"
"chhena jalebi,rice"
"chhena kheeri,rasabali,rice"
"kheer sagar,rice"
"chhena kheeri,kheer sagar,rice"
"chhena jalebi,kheer sagar,rice"
"chhena poda,kheer sagar,rice"
"chhena jalebi,chhena kheeri,rice"
"chhena kheeri,kheer sagar,rice"
"chhena jalebi,kheer sagar,rice"
"chhena jalebi,phirni,rice"
"chhena jalebi,rice"
"chhena jalebi,phirni,rice"
"chhena jalebi,phirni,rice"
"chhena jalebi,kheer sagar,rice"
"chhena kheeri,kheer sagar,rice"
"chhena kheeri,kheer sagar,rice"
"chhena jalebi,kheer sagar,rice"
"kheer sagar,rasabali,rice"
"chhena jalebi,kheer sagar,rice"
"chhena kheeri,phirni,rice"
"chhena jalebi,kheer sagar,rice"
"chhena kheeri,kheer sagar,rice"
"chhena jalebi,chhena kheeri,rice"
"chhena kheeri,kheer sagar,rice"
"chhena jalebi,chhena kheeri,rice"
"chhena jalebi,phirni,rice"
"kheer sagar,pakhala,rice"
"chhena jalebi,kheer sagar,rice"
"rasabali,rice"
"chhena kheeri,rice"
"kheer sagar,rice"
"chhena jalebi,chhena kheeri,rice"
"chhena poda,pakhala,rice"
"chhena jalebi,rice"
"chhena kheeri,rice"
"chhena kheeri,rice"
"chhena jalebi,kheer sagar,rice"
"chhena kheeri,rice"
"chhena jalebi,kheer sagar,rice"
"chhena kheeri,rice"
"chhena jalebi,rice"
"chhena kheeri,kheer sagar,rice"
"chhena kheeri,rice"
"chhena kheeri,kheer sagar,rice"
"chhena kheeri,kheer sagar,rice"
"chhena poda,pakhala,rice"
"chhena kheeri,rice"
"chhena kheeri,rasabali,rice"
"chhena jalebi,chhena kheeri,rice"
"chhena jalebi,chhena poda,rice"
"chhena kheeri,chhena poda,rice"
"chhena jalebi,kheer sagar,rice"
"kheer sagar,pakhala,rice"
"chhena kheeri,kheer sagar,rice"
"chhena jalebi,rice"
"chhena jalebi,chhena kheeri,rice"
"chhena kheeri,kheer sagar,rice"
"chhena kheeri,kheer sagar,rice"
"chhena kheeri,rasabali,rice"
"kheer sagar,phirni,rice"
"chhena kheeri,rice"
"chhena poda,rasabali,rice"
"kheer sagar,rasabali,rice"
"kheer sagar,pakhala,rice"
"chhena jalebi,rasabali,rice"
"chhena kheeri,kheer sagar,rice"
"chhena jalebi,kheer sagar,rice"
"chhena jalebi,kheer sagar,rice"
"kheer sagar,phirni,rice"
"kheer sagar,rice"
"chhena kheeri,rice"
"chhena jalebi,phirni,rice"
"chhena kheeri,kheer sagar,rice"
"phirni,rasabali,rice"
"chhena kheeri,kheer sagar,rice"
"chhena kheeri,kheer sagar,rice"
"chhena jalebi,rice"
"chhena jalebi,chhena kheeri,rice"
"chhena kheeri,kheer sagar,rice"
"kheer sagar,phirni,rice"
"chhena jalebi,chhena kheeri,rice"
"pakhala,rice"
"chhena jalebi,kheer sagar,rice"
"chhena jalebi,chhena kheeri,rice"
"chhena kheeri,kheer sagar,rice"
"chhena jalebi,chhena kheeri,rice"
"chhena kheeri,kheer sagar,rice"
"chhena kheeri,rice"
"chhena kheeri,pakhala,rice"
"chhena jalebi,rice"
"chhena jalebi,phirni,rice"
"chhena jalebi,kheer sagar,rice"
"chhena kheeri,phirni,rice"
"chhena jalebi,pakhala,rice"
"chhena jalebi,rice"
"pakhala,rice"
"chhena jalebi,kheer sagar,rice"
"kheer sagar,rice"
"chhena kheeri,pakhala,rice"
"chhena poda,kheer sagar,rice"
"kheer sagar,pakhala,rice"
"kheer sagar,rice"
"chhena kheeri,kheer sagar,rice"
"chhena jalebi,kheer sagar,rice"
"chhena kheeri,kheer sagar,rice"
"kheer sagar,pakhala,rice"
"chhena kheeri,kheer sagar,rice"
"kheer sagar,phirni,rice"
"chhena jalebi,chhena kheeri,rice"
"kheer sagar,rice"
"kheer sagar,rasabali,rice"
"pakhala,phirni,rice"
"chhena jalebi,chhena kheeri,rice"
"kheer sagar,rice"
"kheer sagar,rasabali,rice"
"chhena kheeri,pakhala,rice"
"chhena kheeri,chhena poda,rice"
"chhena jalebi,kheer sagar,rice"
"chhena jalebi,kheer sagar,rice"
"kheer sagar,rice"
"chhena kheeri,pakhala,rice"
"chhena jalebi,phirni,rice"
"kheer sagar,pakhala,rice"
"chhena kheeri,kheer sagar,rice"
"chhena jalebi,rice"
"chhena jalebi,rice"
"chhena jalebi,kheer sagar,rice"
"chhena jalebi,chhena kheeri,rice"
"chhena kheeri,kheer sagar,rice"
"chhena jalebi,chhena kheeri,rice"
"chhena jalebi,chhena kheeri,rice"
"chhena jalebi,chhena kheeri,rice"
"chhena poda,rasabali,rice"
"chhena jalebi,chhena kheeri,rice"
"chhena poda,kheer sagar,rice"
"kheer sagar,phirni,rice"
"kheer sagar,rice"
"kheer sagar,phirni,rice"
"kheer sagar,phirni,rice"
"chhena jalebi,kheer sagar,rice"
"chhena kheeri,pakhala,rice"
"pakhala,rasabali,rice"
"chhena jalebi,kheer sagar,rice"
"chhena kheeri,pakhala,rice"
"chhena poda,kheer sagar,rice"
"chhena kheeri,chhena poda,rice"
"kheer sagar,pakhala,rice"
"chhena poda,kheer sagar,rice"
"kheer sagar,phirni,rice"
"chhena jalebi,phirni,rice"
"chhena kheeri,phirni,rice"
"chhena jalebi,kheer sagar,rice"
"chhena jalebi,chhena kheeri,rice"
"chhena jalebi,kheer sagar,rice"
"phirni,rice"
"chhena jalebi,chhena kheeri,rice"
"chhena kheeri,kheer sagar,rice"
"chhena kheeri,kheer sagar,rice"
"chhena kheeri,kheer sagar,rice"
"chhena jalebi,chhena kheeri,rice"
"chhena kheeri,kheer sagar,rice"
"kheer sagar,phirni,rice"
"chhena kheeri,phirni,rice"
"chhena jalebi,chhena kheeri,rice"
"chhena jalebi,chhena kheeri,rice"
"chhena kheeri,phirni,rice"
"chhena jalebi,kheer sagar,rice"
"chhena jalebi,rasabali,rice"
"chhena jalebi,chhena kheeri,rice"
"kheer sagar,rice"
"kheer sagar,rice"
"kheer sagar,rice"
"kheer sagar,rasabali,rice"
"chhena jalebi,chhena kheeri,rice"
"kheer sagar,rice"
"chhena kheeri,phirni,rice"
"chhena jalebi,chhena kheeri,rice"
"kheer sagar,rice"
"chhena kheeri,chhena poda,rice"
"chhena jalebi,pakhala,rice"
"kheer sagar,phirni,rice"
"chhena kheeri,kheer sagar,rice"
"kheer sagar,rasabali,rice"
"kheer sagar,rice"
"pakhala,rice"
"chhena jalebi,pakhala,rice"
"chhena jalebi,chhena kheeri,rice"
"chhena jalebi,chhena kheeri,rice"
"chhena jalebi,kheer sagar,rice"
"kheer sagar,rice"
"chhena kheeri,rice"
"chhena kheeri,pakhala,rice"
"chhena kheeri,rice"
"kheer sagar,phirni,rice"
"chhena kheeri,rice"
"chhena jalebi,rice"
"chhena poda,kheer sagar,rice"
"kheer sagar,rice"
"chhena jalebi,rasabali,rice"
"kheer sagar,rice"
"chhena jalebi,rice"
"chhena kheeri,rice"
"chhena poda,kheer sagar,rice"
"kheer sagar,pakhala,rice"
"chhena kheeri,kheer sagar,rice"
"chhena poda,kheer sagar,rice"
"chhena kheeri,rasabali,rice"
"chhena kheeri,kheer sagar,rice"
"chhena kheeri,rasabali,rice"
"chhena jalebi,chhena kheeri,rice"
"kheer sagar,rasabali,rice"
"chhena kheeri,kheer sagar,rice"
"chhena jalebi,kheer sagar,rice"
"chhena kheeri,kheer sagar,rice"
"chhena jalebi,chhena kheeri,rice"
"chhena jalebi,rice"
"chhena jalebi,chhena kheeri,rice"
